lio kio gurun, ᠯᡳᠣ ᡴᡳᠣ ᡤᡠᡵᡠᠨ
nimenggi, ᠨᡳᠮᡝᠩᡤᡳ
duka, ᡩᡠᡴᠠ
malanggū, ᠮᠠᠯᠠᠩᡤᡡ
malanggū nimenggi, ᠮᠠᠯᠠᠩᡤᡡ ᠨᡳᠮᡝᠩᡤᡳ
jeku, ᠵᡝᡴᡠ
sahaliyan malanggū, ᠰᠠᡥᠠᠯᡳᠶᠠᠨ ᠮᠠᠯᠠᠩᡤᡡ
malanggū misun, ᠮᠠᠯᠠᠩᡤᡡ ᠮᡳᠰᡠᠨ
bodokū, ᠪᠣᡩ᠋ᠣᡴᡡ
talkiyan, ᡨ᠋ᠠᠯᡴᡳᠶᠠᠨ
biyangga inenggi, ᠪᡳᠶᠠᠩᡤᠠ ᡳᠨᡝᠩᡤᡳ
jakūn biyai tofohon, ᠵᠠᡴᡡᠨ ᠪᡳᠶᠠᡳ ᡨ᠋ᠣᡶ᠋ᠣᡥᠣᠨ
booi buhū, ᠪᠣᠣᡳ ᠪᡠᡥᡡ
jilan muke, ᠵᡳᠯᠠᠨ ᠮᡠᡴᡝ
hūwai ho bira, ᡥᡡᠸᠠᡳ ᡥᠣ ᠪᡳᡵᠠ
buhū, ᠪᡠᡥᡡ
aja jeje, ᠠᠵᠠ ᠵᡝᠵᡝ
basa, ᠪᠠᠰᠠ
boo nimaha, ᠪᠣᠣ ᠨᡳᠮᠠᡥᠠ
duin bilten, ᡩ᠋ᡠ᠋ᡳ᠌ᠨ ᠪᡳᠯᡨᡝᠨ
pi jio, ᡦᡳ ᠵᡳᠣ
uyan lala, ᡠᠶᠠᠨ ᠯᠠᠯᠠ
mafa gurun, ᠮᠠᡶᠠ ᡤᡠᡵᡠᠨ
uyungge inenggi, ᡠᠶᡠᠩᡤᡝ ᡳᠨᡝᠩᡤᡳ
mase, ᠮᠠᠰᡝ
mase muyari, ᠮᠠᠰᡝ ᠮᡠᠶᠠᡵᡳ
muyari, ᠮᡠᠶᠠᡵᡳ
hibsu, ᡥᡳᠪᠰᡠ
ejen, ᡝᠵᡝᠨ
hibsu ejen, ᡥᡳᠪᠰᡠ ᡝᠵᡝᠨ
niongniyaha, ᠨᡳᠣᠩᠨᡳᠶᠠᡥᠠ
irgen, ᡳᡵᡤᡝᠨ
irgen gurun, ᡳᡵᡤᡝᠨ ᡤᡠᡵᡠᠨ
yabubufi ilge᠋, ᠶᠠᠪᡠᠪᡠᡶᡳ ᡳᠯᡤᡝ᠋
aisin gioro, ᠠᡳᠰᡳᠨ ᡤᡳᠣᡵᠣ
boo, ᠪᠣᠣ
moo, ᠮᠣᠣ
katuri, ᡴᠠᡨᡠ᠋ᡵᡳ
sogi, ᠰᠣᡤᡳ
boso, ᠪᠣᠰᠣ
joo, ᠵᠣᠣ
mudu᠋ri, ᠮᡠᡩᡠ᠋ᡵᡳ
lefu, ᠯᡝᡶᡠ
tasha, ᡨᠠᠰᡥᠠ
ihan, ᡳᡥᠠᠨ
gūlmahūn, ᡤᡡᠯᠮᠠᡥᡡᠨ
arsalan, ᠠᡵᠰᠠᠯᠠᠨ
coko, ᠴᠣᡴᠣ
ulgiyan, ᡠᠯᡤᡳᠶᠠᠨ
deo, ᡩᡝᠣ
oforo, ᠣᡶᠣᡵᠣ
angga, ᠠᠩᡤᠠ
non, ᠨᠣᠨ
ilenggu, ᡳᠯᡝᠩᡤᡠ
šan, ᡧᠠᠨ
eyun, ᡝᠶᡠᠨ
weihe, ᠸᡝᡳᡥᡝ
bethe, ᠪᡝᡨᡥᡝ
ahūn, ᠠᡥᡡᠨ
solho, ᠰᠣᠯᡥᠣ
abdaha, ᠠᠪᡩᠠᡥᠠ
haha jui, ᡥᠠᡥᠠ ᠵᡠᡳ
eigen, ᡝᡳᡤᡝᠨ
niyalma, ᠨᡳᠶᠠᠯᠮᠠ
omolo, ᠣᠮᠣᠯᠣ
komso, ᡴᠣᠮᠰᠣ
ere, ᡝᡵᡝ
ajige, ᠠᠵᡳᡤᡝ
oci, ᠣᠴᡳ
labdu, ᠯᠠᠪᡩᡠ
sargan, ᠰᠠᡵᡤᠠᠨ
akū, ᠠᡴᡡ
juwan ilan, ᠵᡠᠸᠠᠨ ᡳᠯᠠᠨ
juwan emu, ᠵᡠᠸᠠᠨ ᡝᠮᡠ
tofohon, ᡨᠣᡶᠣᡥᠣᠨ
juwan duin, ᠵᡠᠸᠠᠨ ᡩᡠᡳᠨ
juwan ninggun, ᠵᡠᠸᠠᠨ ᠨᡳᠩᡤᡠᠨ
amba, ᠠᠮᠪᠠ
juwan juwe, ᠵᡠᠸᠠᠨ ᠵᡠᠸᡝ
juwan nadan, ᠵᡠᠸᠠᠨ ᠨᠠᡩᠠᠨ
gaha, ᡤᠠᡥᠠ
juwan uyun, ᠵᡠᠸᠠᠨ ᡠᠶᡠᠨ
sargan jui, ᠰᠠᡵᡤᠠᠨ ᠵᡠᡳ
eihen, ᡝᡳᡥᡝᠨ
dobi, ᡩᠣᠪᡳ
juwan jakūn, ᠵᡠᠸᠠᠨ ᠵᠠᡴᡡᠨ
eihume, ᡝᡳᡥᡠᠮᡝ
tere, ᡨᡝᡵᡝ
mini, ᠮᡳᠨᡳ
monggon, ᠮᠣᠩᡤᠣᠨ
giranggi, ᡤᡳᡵᠠᠩᡤᡳ
gargan, ᡤᠠᡵᡤᠠᠨ
helmehen, ᡥᡝᠯᠮᡝᡥᡝᠨ
singgeri, ᠰᡳᠩᡤᡝᡵᡳ
gefehe, ᡤᡝᡶᡝᡥᡝ
galman, ᡤᠠᠯᠮᠠᠨ
giyahūn, ᡤᡳᠶᠠᡥᡡᠨ
namu, ᠨᠠᠮᡠ
monio, ᠮᠣᠨᡳᠣ
sampa, ᠰᠠᠮᡦᠠ
garu, ᡤᠠᡵᡠ
derhuwe, ᡩᡝᡵᡥᡠᠸᡝ
bonio, ᠪᠣᠨᡳᠣ
simhun, ᠰᡳᠮᡥᡠᠨ
ufuhu, ᡠᡶᡠᡥᡠ
sukū, ᠰᡠᡴᡡ
fahūn, ᡶᠠᡥᡡᠨ
duha, ᡩᡠᡥᠠ
sifulu, ᠰᡳᡶᡠᠯᡠ
delihun, ᡩᡝᠯᡳᡥᡠᠨ
faitan, ᡶᠠᡳᡨᠠᠨ
šenggin, ᡧᡝᠩᡤᡳᠨ
